Afghanistan,Kabul,34∞32'N,69∞10'E
Andorra,Andorra la Vella,42∞30'N,1∞30'E
Angola,Huambo,12∞46'S,15∞44'E
Angola,Luanda,8∞50'S,13∞14'E
Antigua and Barbuda,St. John's,17∞07'N,61∞51'W
Argentina,Buenos Aires,34∞36'S,58∞23'W
Argentina,Trelew,43∞15'S,65∞18'W
Argentina,RÃ_o Gallegos,51∞38'S,69∞13'W
Argentina,Rosario,32∞57'S,60∞40'W
Argentina,Comodoro Rivadavia,45∞52'S,67∞29'W
Argentina,Esperanza,63∞24'S,56∞59'W
Argentina,San Miguel de TucumÃ¡n,26∞49'S,65∞13'W
Argentina,Mendoza,32∞53'S,68∞49'W
Armenia,Yerevan,40∞11'N,44∞31'E
Australia,Geelong,38∞09'S,144∞21'E
Australia,Mandurah,32∞32'S,115∞43'E
Australia,Cairns,16∞56'S,145∞47'E
Australia,Adelaide,34∞56'S,138∞36'E
Australia,Darwin,12∞27'S,130∞50'E
Australia,Sydney,33∞52'S,151∞13'E
Australia,Perth,31∞57'S,115∞52'E
Australia,Port Hedland,20∞19'S,118∞36'E
Australia,Wollongong,34∞26'S,150∞53'E
Australia,Rockhampton,23∞23'S,150∞31'E
Australia,Melbourne,37∞49'S,144∞58'E
Austria,Innsbruck,47∞16'N,11∞23'E
Austria,Linz,48∞18'N,14∞17'E
Austria,Vienna,48∞13'N,16∞22'E
Azerbaijan,Baku,40∞24'N,49∞53'E
Bahamas,Nassau,25∞04'N,77∞20'W
Bangladesh,Chittagong,22∞22'N,91∞48'E
Bangladesh,Dhaka,23∞42'N,90∞23'E
Barbados,Bridgetown,13∞06'N,59∞37'W
Belgium,Ghent,51∞03'N,3∞44'E
Belgium,Antwerp,51∞13'N,4∞24'E
Belize,Belmopan,17∞15'N,88∞46'W
Bhutan,Thimphu,27∞28'N,89∞39'E
Bolivia,La Paz,16∞30'S,68∞09'W
Bolivia,Santa Cruz de la Sierra,17∞48'S,63∞10'W
Bolivia,Sucre,19∞03'S,65∞15'W
Bosnia,Sarajevo,43∞51'N,18∞21'E
Botswana,Francistown,21∞10'S,27∞31'E
Botswana,Gaborone,24∞39'S,25∞55'E
Brazil,Palmas,10∞11'S,48∞20'W
Brazil,SÃ£o Paulo,23∞33'S,46∞38'W
Brazil,Fortaleza,3∞43'S,38∞33'W
Brazil,Boa Vista,2∞49'N,60∞40'W
Brazil,Teresina,5∞06'S,42∞48'W
Brazil,Juazeiro do Norte,7∞12'S,39∞20'W
Brazil,Fernando de Noronha,3∞51'S,32∞25'W
Brazil,Sobral,3∞40'S,40∞14'W
Brazil,CuiabÃ¡,15∞36'S,56∞06'W
Brazil,Garanhuns,8∞53'S,36∞30'W
Brazil,Rio de Janeiro,22∞55'S,43∞12'W
Brazil,SÃ£o JosÃ© do Rio Preto,20∞48'S,49∞23'W
Brazil,BelÃ©m,1∞27'S,48∞30'W
Brazil,Salvador,12∞58'S,38∞29'W
Brazil,Campina Grande,7∞14'S,35∞53'W
Brazil,Imperatriz,5∞32'S,47∞29'W
Brazil,MaceiÃ_,9∞40'S,35∞44'W
Brazil,SÃ£o JosÃ© dos Campos,23∞11'S,45∞53'W
Brazil,IlhÃ©us,14∞47'S,39∞03'W
Brazil,JoÃ£o Pessoa,7∞05'S,34∞50'W
Brazil,Petrolina,9∞24'S,40∞30'W
Brazil,MacapÃ¡,0∞02'N,51∞04'W
Brazil,Recife,8∞03'S,34∞54'W
Brazil,Campo Grande,20∞28'S,54∞37'W
Brazil,SÃ£o LuÃ_s,2∞32'S,44∞18'W
Brazil,Assis,22∞40'S,50∞25'W
Bulgaria,Sofia,42∞42'N,23∞20'E
Burkina Faso,Bobo-Dioulasso,11∞11'N,4∞17'W
Burkina Faso,Ouagadougou,12∞21'N,1∞32'W
Cambodia,Siem Reap,13∞22'N,103∞52'E
Canada,Regina,50∞27'N,104∞36'W
Canada,Grise Fiord,76∞25'N,82∞54'W
Canada,North Bay,46∞18'N,79∞27'W
Canada,Grande Prairie,55∞10'N,118∞48'W
Canada,Charlottetown,46∞14'N,63∞09'W
Canada,Ottawa,45∞25'N,75∞41'W
Canada,Yellowknife,62∞27'N,114∞24'W
Canada,Winnipeg,49∞54'N,97∞08'W
Canada,Toronto,43∞42'N,79∞24'W
Canada,Montreal,45∞30'N,73∞34'W
Canada,Saskatoon,52∞08'N,106∞41'W
Canada,Kamloops,50∞41'N,120∞20'W
Canada,Fort McMurray,56∞44'N,111∞23'W
Canada,Whitehorse,60∞43'N,135∞03'W
Canada,Quebec City,46∞49'N,71∞13'W
Canada,Calgary,51∞03'N,114∞04'W
Chad,Moundou,8∞34'N,16∞05'E
Chile,Valdivia,39∞49'S,73∞15'W
